Season,HomeTeam,AwayTeam,Number In,Number Out,Average Age of Departures,Average Age of Arrivals,Total Market Value Departures (millions),Total Market Value Arrivals (millions),Income (millions),Expenditures (millions)
2009,Manchester City,Manchester City,24,29,23.4,24.5,130.73,185.82,35.28,167.92
2009,Manchester United,Manchester United,21,21,21.2,21,93.71,49.99,119.09,31.24
2009,Tottenham Hotspur,Tottenham Hotspur,37,36,21.1,20.9,86.47,83.42,36.14,45.94
2009,Liverpool FC,Liverpool FC,20,26,22.7,22.3,75.06,70.4,55.35,49.59
2009,Chelsea FC,Chelsea FC,21,19,21.8,21.1,57.11,65.61,4.33,34.2
2009,Arsenal FC,Arsenal FC,17,17,20.4,20.8,62.53,23.46,54.38,13.68
2009,Burnley FC,Burnley FC,33,19,22.7,21.8,12.74,26.99,0.103,15.44
2009,Everton FC,Everton FC,17,17,24.4,22.6,57.31,46.37,32.31,26.56
2009,Aston Villa,Aston Villa,24,19,23.5,23.3,43.83,50.45,25.19,53.47
2009,Birmingham City,Birmingham City,26,28,24.3,23.4,33.86,45.91,0.456,22.86
2009,Hull City,Hull City,20,25,25.2,23.2,24.28,32.43,18.47,16.93
2009,Sunderland AFC,Sunderland AFC,23,30,26.2,23.8,65.09,78.46,24.25,52.55
2009,West Ham United,West Ham United,24,26,25.5,22.8,86.64,55.35,47.08,24.68
2009,Wigan Athletic,Wigan Athletic,18,18,25.8,23.7,50.1,32.26,29.73,21.02
2009,Wolverhampton Wanderers,Wolverhampton Wanderers,34,27,22.9,23.1,20.63,38.39,0.992,22.18
2009,Stoke City,Stoke City,24,25,24.5,23,24.11,39.73,7.41,29.7
2009,Bolton Wanderers,Bolton Wanderers,25,15,22.3,21.3,21.95,35.77,2.28,13.68
2009,Blackburn Rovers,Blackburn Rovers,39,35,23.3,22.1,59.17,44.89,41.78,15.14
2009,Portsmouth FC,Portsmouth FC,32,35,24.7,23.9,90.46,51.73,59.34,12.04
2009,Fulham FC,Fulham FC,26,25,24.6,24.1,29.13,38.33,0,8.1
